buyer_wangwang,merchant_no,platform,order_no,issue_type,solution,compensation,factory,batch_no,pattern_batch,designer,handler,batch_source,created_at,page
6925031101967596725,24181805102,天猫,,做工开线等,质量补偿,5,浩迅,HB10686,WB43763,刘小落,玲玲,客服添加波次,2026-03-24 15:40:13,2
6951410138560730572,25070705042,天猫,,过敏,退货,,浩迅,HY11407,WD50234,刘小落,糖糖,客服添加波次,2026-03-24 15:12:59,2
6951322262709867826,24181817022,天猫,,污渍,,,乙超,FY28199,WA42661,陈丹,舟舟,同步波次,2026-03-24 15:02:24,2
6951221189030188795,2537372301,天猫,,内衬掉出,补偿,20,易茂,FY24818,WD51332,刘小落,舟舟,客服添加波次,2026-03-24 14:43:57,2
6924943749238783963,25181809366,抖音,,扣子,,,浩迅,hb11704,WD51720,刘小落,贝贝,客服添加波次,2026-03-24 14:36:16,3
6924602330908294761,25262608119,抖音,,起球勾线掉毛,退货,,春秋,fy28271,WC47887,刘小落,贝贝,客服添加波次,2026-03-24 14:34:27,3
6924539584700382764,25070711026,抖音,,做工开线等,现金补偿,5,爱探索,fy28029,WC46025,庞潇潇,贝贝,客服添加波次,2026-03-24 14:32:57,3
6950966291375003576,25181805137,天猫,,发错,退货,,元合,FY28152,WD51150,庞潇潇,舟舟,客服添加波次,2026-03-24 14:21:23,3
6924998068109933605,26181801017,抖音,,起球勾线掉毛,退货,,爱探索,WE52538,WE52537,庞潇潇,真真,同步波次,2026-03-24 14:08:46,3
6923896834586213960,25181813163,天猫,,起球勾线掉毛,,,三米,FY27987,WC46861,陈丹,舟舟,同步波次,2026-03-24 14:06:59,3
6924789617303846177,25070705031,天猫,,起球勾线掉毛,补偿,20,浩迅,HY11372,WC46020,庞潇潇,舟舟,同步波次,2026-03-24 14:05:54,3
6951492193632130338,25070710010,天猫,,做工开线等,补偿,15,凡哥,WD50760,WD50758,陈丹,曦曦,客服添加波次,2026-03-24 13:52:55,3
6925045134973959451,25262602052,天猫,,扣子,质量补偿,10,丰庆,FB28007,WZ40283,庞潇潇,玲玲,同步波次,2026-03-24 13:51:39,3
6950959342891636560,25181808003,天猫,,起球勾线掉毛,补偿,8,东遇,FY28236,WD50407,刘小落,糖糖,客服添加波次,2026-03-24 13:24:18,3
6925057886559304759,25262602055,天猫,,污渍,退货,,丰庆,FY22258,WZ40283,庞潇潇,曦曦,客服添加波次,2026-03-24 13:23:09,3
6924916843516559274,24181809327,天猫,,污渍,退货,,浩迅,HY11682,WB45366,庞潇潇,,同步波次,2026-03-24 13:08:22,3
6924966577088855379,25070711001,天猫,,做工开线等,退货,,易茂,FY28056,WC46025,庞潇潇,丽丽,客服添加波次,2026-03-24 13:06:23,3
260316-053026537811796,23070711005,小店,,做工开线等,补偿,6,浩迅,HB11361,WZ41053,庞潇潇,,同步波次,2026-03-24 13:05:13,3
6925070513736154679,23181814007,天猫,,做工开线等,补偿,5,杰迅,WZ40760,WZ40754,刘小落,曦曦,客服添加波次,2026-03-24 13:01:54,3
6951478998722156015,26181805022,天猫,,做工开线等,退货,,丰庆,WE52074,WE52074,陈丹,丽丽,客服添加波次,2026-03-24 12:58:31,4
6925009770334814122,24181809327,天猫,,污渍,补偿,10,浩迅,HB11736,WB45366,庞潇潇,丽丽,客服添加波次,2026-03-24 12:57:44,4
6925045764131814923,24070710007,天猫,,起球勾线掉毛,,,媱依,FY26203,WB44607,陈丹,糖糖,客服添加波次,2026-03-24 12:51:26,4
6925029001319382806,25181814079,天猫,,转绒跑绒起坨,补偿,18,华羽,FB25003,WD51220,庞潇潇,曦曦,客服添加波次,2026-03-24 12:41:33,4
6951020949410223643,24181801177,天猫,,做工开线等,补偿,5,元合,FY28361,WA43490,陈丹,曦曦,客服添加波次,2026-03-24 12:40:30,4
6924603875579952990,25181801112,天猫,,做工,退货,,爱探索,FY28319,WC47587,庞潇潇,曦曦,客服添加波次,2026-03-24 12:06:42,4
6951493796312782202,24181817054,天猫,,污渍,退货,,东遇,FY25959,WB43693,庞潇潇,丽丽,客服添加波次,2026-03-24 11:57:48,4
6950877082057577709,25181810050,天猫,,污渍,补偿,10,丰庆,FY28043,WC46414,刘小落,曦曦,客服添加波次,2026-03-24 11:57:34,4
6951440593618605766,26181801016,天猫,,洗唛和吊牌不符,退货,,爱探索,WE52537,WE52537,庞潇潇,丽丽,客服添加波次,2026-03-24 11:54:30,4
6924601753645972822,2537372032,天猫,,扣子,质量补偿,6,爱探索,FY23395,WC47589,庞潇潇,玲玲,同步波次,2026-03-24 11:54:15,4
6951014528647042623,25262608123,天猫,,面料瑕疵,补偿,5,朗玛,FY28365,WC47887,刘小落,曦曦,客服添加波次,2026-03-24 11:52:03,4
6924927946018618528,25181815008,天猫,,拉链,,,易茂,WD51694,WD51691,庞潇潇,糖糖,客服添加波次,2026-03-24 11:49:48,4
6951433049828627584,24181809289,天猫,,做工开线等,质量补偿,9,春秋,,,,玲玲,,2026-03-24 11:48:58,4
6925038177904786737,24070709006,天猫,,色差,补偿,15,易茂,FB27555,WB45015,庞潇潇,曦曦,客服添加波次,2026-03-24 11:17:12,4
6925038177904786737,24070709006,天猫,,色差,补偿,15,易茂,,,,曦曦,客服添加波次,2026-03-24 11:16:44,4
6951156237871421256,24181804005,天猫,,污渍,补偿,7,三米,FY28537,WA43260,庞潇潇,丽丽,客服添加波次,2026-03-24 11:08:30,5
6924919357825122236,25181815006,天猫,,拉链,补偿,10,易茂,WD51692,WD51691,庞潇潇,丽丽,客服添加波次,2026-03-24 10:39:54,5
6951244282900518357,25181814157,天猫,,拉链,补偿,20,华羽,WD51539,WD51517,刘小落,糖糖,客服添加波次,2026-03-24 10:38:35,5
6951033964995941499,2537372032,天猫,,起球勾线掉毛,补偿,15,爱探索,FY23395,WC47589,庞潇潇,丽丽,客服添加波次,2026-03-24 10:22:08,5
6925051219210632736,25070705031,天猫,,起球勾线掉毛,退货,,爱探索,FY28117,WC46020,庞潇潇,丽丽,客服添加波次,2026-03-24 10:18:45,5
6951259846436591535,25070710012,天猫,,起球勾线掉毛,补偿,15,浩迅,HY25984,WD50758,陈丹,糖糖,客服添加波次,2026-03-24 10:13:27,5
6925008347588820674,25181801107,天猫,,污渍,退货,,东遇,FY23754,WC47533,刘小落,曦曦,同步波次,2026-03-24 09:58:59,5
6951391076315240058,24181809264,天猫,,做工开线等,质量补偿,15,爱探索,FB27241,WB45188,刘小落,玲玲,客服添加波次,2026-03-24 09:49:22,5
6924954806576840541,24070709003,天猫,,转绒跑绒起坨,补偿,15,易茂,FY26847,WB45015,庞潇潇,曦曦,客服添加波次,2026-03-24 09:43:13,5
6951007899345884439,25181801027,天猫,,污渍,平台退款,9,浩迅,WC46233,WC46231,陈丹,糖糖,同步波次,2026-03-24 09:32:59,5
6951424012061775006,25181814117,天猫,,做工开线等,退货,,爱探索,FB27514,WD50540,庞潇潇,玲玲,客服添加波次,2026-03-24 08:51:06,5
6924955944270462386,26070710003,天猫,,洗唛和吊牌不符,补偿,10,易茂,WE51981,WE51978,陈丹,丽丽,同步波次,2026-03-24 08:42:39,5
6950528887670051841,25262608152,抖音,,破洞,,,丰庆,fy26445,WD50171,刘小落,贝贝,客服添加波次,2026-03-23 22:42:57,5
6924992148361804867,25181809269,抖音,,起球勾线掉毛,平台补偿,15,乙超,FB28016,WD51207,刘小落,贝贝,同步波次,2026-03-23 21:37:42,5
6924665977304022300,24262615011,抖音,,掉色,,,茉弥,fy24564,WA43497,刘小落,贝贝,客服添加波次,2026-03-23 21:36:22,5
6924514109254303396,25181804034,天猫,,缩水变形,补偿,10,三米,FB27999,WC46386,陈丹,天天,客服添加波次,2026-03-23 21:32:08,6
6951455045519414302,23262606077,天猫,,污渍,补偿,5,丰庆,FY27988,WZ41706,陈丹,天天,客服添加波次,2026-03-23 21:26:37,6
6951151878815225121,24181801174,天猫,,有味道,补偿,5,元合,FY28358,WA43490,陈丹,天天,客服添加波次,2026-03-23 21:10:42,6
6950980153432675493,25262602162,天猫,,破洞,质量补偿,15,爱探索,FY25971,WC46986,陈丹,舟舟,同步波次,2026-03-23 20:53:24,6
6950494987596338435,24262608179,天猫,,破洞,补偿,5,爱探索,WB43913,WB43912,庞潇潇,舟舟,同步波次,2026-03-23 20:51:03,6
6925028616357510809,26181809007,天猫,,长短不一,补偿,10,春秋,WE52030,WD51543,刘小落,天天,客服添加波次,2026-03-23 20:46:51,6
6951421129427981991,25181809262,天猫,,污渍,平台退款,10,乙超,FB28019,WD51207,刘小落,天天,同步波次,2026-03-23 20:36:16,6
6925018950334840008,24181809289,天猫,,污渍,,,春秋,FY26265,WB45310,刘小落,舟舟,同步波次,2026-03-23 20:26:14,6
6925003528816328184,25181809224,天猫,,污渍,平台退款,27,春秋,FY26102,WB45310,刘小落,舟舟,同步波次,2026-03-23 20:24:26,6
6950883034119476719,25262608146,天猫,,污渍,平台退款,10,丰庆,FY25800,WD50095,陈丹,舟舟,同步波次,2026-03-23 20:23:31,6
6951211839223961416,25181802050,天猫,,长短不一,补偿,5,浩迅,HY11758,WD50146,庞潇潇,天天,客服添加波次,2026-03-23 20:13:03,6
6924614235072986216,25181811123,天猫,,做工开线等,补偿,10,爱探索,FY24487,WC47587,庞潇潇,舟舟,同步波次,2026-03-23 20:10:16,6
6924118184375778344,25070711003,天猫,,起球勾线掉毛,补偿,8,爱探索,FY28028,WC46025,庞潇潇,舟舟,同步波次,2026-03-23 20:03:19,6
6951001798683530271,2537372031,天猫,,做工开线等,退货,,爱探索,FY28315,WC47589,庞潇潇,天天,客服添加波次,2026-03-23 19:59:02,6
6924612706572532899,25181811123,天猫,,污渍,补偿,5,爱探索,FY28318,WC47587,庞潇潇,天天,客服添加波次,2026-03-23 19:52:15,6
6951465352934790360,25262602011,天猫,,破洞,补偿,20,爱探索,WC46037,WC46032,庞潇潇,舟舟,同步波次,2026-03-23 19:50:53,7
6924898889742581321,2537372049,天猫,,做工开线等,,,茉弥,FY23390,WC47652,庞潇潇,天天,客服添加波次,2026-03-23 19:44:34,7
6924804130258385985,24181801177,抖音,,污渍,补偿,5,元合,FY28361,WA43490,陈丹,贝贝,同步波次,2026-03-23 19:30:46,7
6951453923269219883,25181813403,天猫,,做工开线等,补偿,10,三米,FY27337,WD50880,庞潇潇,舟舟,同步波次,2026-03-23 19:30:44,7
6924500657860738447,25262602119,抖音,,起球勾线掉毛,现金补偿,5,丰庆,fy28083,WD50017,陈丹,贝贝,客服添加波次,2026-03-23 19:30:05,7
6951183380090787587,25181801132,抖音,,尺码不符,退货,,爱探索,fy28296,WC47608,庞潇潇,贝贝,客服添加波次,2026-03-23 19:29:12,7
6924917252445535877,25181814148,天猫,,有味道,补偿,18,茉弥,FY26849,WD50157,庞潇潇,舟舟,同步波次,2026-03-23 19:14:42,7
6924778303928500059,25181809219,天猫,,做工开线等,补偿,15,爱探索,WD50524,WD50521,刘小落,舟舟,同步波次,2026-03-23 18:41:03,7
6951033231890585387,24181817023,天猫,,污渍,补偿,10,乙超,FY28200,WA42661,陈丹,天天,客服添加波次,2026-03-23 17:53:20,7
6924910053392546948,23070711004,抖音,,做工开线等,补偿,20,浩迅,hb11363,WZ41053,庞潇潇,贝贝,客服添加波次,2026-03-23 17:46:58,7
6951166752530961465,24181801177,抖音,,发错,,,元合,fy28361,WA43490,陈丹,贝贝,客服添加波次,2026-03-23 17:17:12,7
6924992514486009785,25181809224,抖音,,污渍,,,春秋,fy26102,WB45310,刘小落,贝贝,客服添加波次,2026-03-23 17:11:46,7
6950228366454888284,25181806105,天猫,,扣子,补偿,10,元合,FY27809,WD51549,陈丹,拌拌,客服添加波次,2026-03-23 17:10:52,7
6923844627980255032,25181806064,天猫,,转绒跑绒起坨,补偿,15,茉弥,FY26960,WD51234,陈丹,拌拌,同步波次,2026-03-23 17:09:46,7
6924102410122002270,24181810065,天猫,,起球勾线掉毛,补偿,15,丰庆,FY21662,WB44403,庞潇潇,,客服添加波次,2026-03-23 17:08:23,7
6924916026039893424,2437372005,天猫,,做工开线等,补偿,5,乙超,WA43559,WA43557,陈丹,拌拌,客服添加波次,2026-03-23 17:06:49,8
6924616681603825211,25181801112,天猫,,做工开线等,平台退款,9,爱探索,FY28319,WC47587,庞潇潇,拌拌,客服添加波次,2026-03-23 17:03:30,8
6951365857973901252,25181806015,天猫,,破洞,退货,,元合,FB27178,WD50312,陈丹,拌拌,同步波次,2026-03-23 17:00:31,8
6925009679497265041,25181804041,天猫,,做工开线等,补偿,8,三米,FY28055,WC46386,陈丹,舟舟,同步波次,2026-03-23 17:00:16,8
6924017811275546050,24070710008,天猫,,做工开线等,质量补偿,20,朗玛,FY26181,WB44607,陈丹,玲玲,客服添加波次,2026-03-23 16:57:28,8
6951231563799794904,25070705062,天猫,,起球勾线掉毛,补偿,15,浩迅,HY116926,WD51081,庞潇潇,伴伴,客服添加波次,2026-03-23 16:56:58,8
6951322078912189941,25070711026,天猫,,做工开线等,补偿,10,爱探索,FB27677,WC46025,庞潇潇,,客服添加波次,2026-03-23 16:55:41,8
6925018847669944209,25181810094,天猫,,做工开线等,补偿,10,丰庆,FB28005,WC45846,刘小落,舟舟,同步波次,2026-03-23 16:54:32,8
6951344686928958483,26181813016,天猫,,污渍,平台退款,9,三米,WE52203,WE52200,刘小落,拌拌,客服添加波次,2026-03-23 16:53:43,8
6924534843944697441,24262602238,天猫,,掉色,补偿,7,丰庆,FY21390,WZ40271,庞潇潇,伴伴,客服添加波次,2026-03-23 16:52:11,8
6924865747993919028,26070705024,天猫,,污渍,,10,,,,,玲玲,,2026-03-23 16:50:29,8
6924938221215317898,25181809314,天猫,,污渍,退货,,浩迅,HB11735,WB45366,庞潇潇,拌拌,客服添加波次,2026-03-23 16:49:52,8
6951026706276554043,25181811122,天猫,,起球勾线掉毛,补偿,8,爱探索,FY28317,WC47587,庞潇潇,拌拌,客服添加波次,2026-03-23 16:47:37,8
6925047399115226801,23262602059,天猫,,污渍,补偿,7,丰庆,WZ40283,WZ40283,庞潇潇,天天,客服添加波次,2026-03-23 16:47:06,8
6924504565907225643,23181813011,天猫,,做工开线等,补偿,15,三米,FY28137,WZ39866,陈丹,拌拌,客服添加波次,2026-03-23 16:43:03,8
6951335110580508006,25070711064,天猫,,污渍,补偿,8,凡哥,WD51449,WD50001,陈丹,伴伴,客服添加波次,2026-03-23 16:40:29,9
6951323205260416053,25181809265,天猫,,污渍,补偿,7,,FY27117,,,拌拌,,2026-03-23 16:39:20,9
6924773487893904997,25181809307,天猫,,污渍,补偿,7,乙超,FY27349,WD51614,刘小落,拌拌,客服添加波次,2026-03-23 16:32:02,9
6924464503867407450,25262608147,天猫,,有味道,补偿,7,丰庆,FY28046,WD50095,陈丹,拌拌,客服添加波次,2026-03-23 16:27:05,9
6924592174350499067,25181811123,天猫,,做工开线等,补偿,5,爱探索,FY24487,WC47587,庞潇潇,,同步波次,2026-03-23 16:25:29,9
6951216203334161607,25181801035,天猫,,起球勾线掉毛,补偿,30,爱探索,FY25084,WC46715,刘小落,拌拌,客服添加波次,2026-03-23 16:00:11,9
6924606983046397120,25181811123,天猫,,做工开线等,平台退款,9,爱探索,FY28318,WC47587,庞潇潇,拌拌,客服添加波次,2026-03-23 15:58:57,9
6924950269383835604,25181809224,天猫,,污渍,补偿,8,春秋,FY26267,WB45310,刘小落,伴伴,客服添加波次,2026-03-23 15:57:38,9
6924621149626989853,2537372049,天猫,,污渍,退货,,茉弥,FY23390,WC47652,庞潇潇,拌拌,同步波次,2026-03-23 15:56:07,9
6951168082127295502,24181801177,天猫,,洗唛和吊牌不符,,,元合,FY28361,WA43490,陈丹,天天,客服添加波次,2026-03-23 15:43:19,9
6924507351932828950,25262602119,天猫,,污渍,,,丰庆,FB28010,WD50017,陈丹,舟舟,同步波次,2026-03-23 15:36:44,9
6951437095625627493,24181805099,天猫,,污渍,补偿,12,乙超,FY27824,WB43763,刘小落,伴伴,客服添加波次,2026-03-23 15:32:59,9
6924598662673824890,25181809194,天猫,,做工开线等,退货,,朗玛,FY25789,WD50210,刘小落,拌拌,客服添加波次,2026-03-23 15:31:21,9
6924599184447340045,25181811123,天猫,,做工开线等,补偿,5,爱探索,FY28318,WC47587,庞潇潇,拌拌,客服添加波次,2026-03-23 15:30:29,9
6951304417459967775,24181817023,天猫,,做工开线等,退货,,浩迅,HY11777,WA42661,陈丹,拌拌,客服添加波次,2026-03-23 15:22:59,9
6924999303950270376,24181809163,天猫,,做工开线等,平台退款,20,爱探索,FY25680,WB44079,刘小落,拌拌,客服添加波次,2026-03-23 15:20:26,10
6925051399602273833,25181813385,抖音,,做工开线等,现金补偿,10,三米,fy28103,WD51183,陈丹,贝贝,客服添加波次,2026-03-23 15:11:26,10
6924636849308597773,2537372105,抖音,,破洞,现金补偿,5,浩迅,hy11117,WC47599,陈丹,贝贝,客服添加波次,2026-03-23 15:08:50,10
6924489200476323164,25262602119,抖音,,起球勾线掉毛,现金补偿,10,丰庆,fb28010,WD50017,陈丹,贝贝,客服添加波次,2026-03-23 15:07:18,10
260315-333331842611796,24262608189,小店,,污渍,补偿,5,茉弥,FY25707,WB43805,陈丹,,同步波次,2026-03-23 14:44:51,10
6951047502453544520,25181817002,天猫,,起球勾线掉毛,补偿,5,乙超,FY22513,WC46664,陈丹,天天,客服添加波次,2026-03-23 14:29:34,10
6924979788406816233,23181815033,天猫,,污渍,,,浩迅,HY11650,WZ41668,庞潇潇,舟舟,同步波次,2026-03-23 14:24:46,10
6924845074775441366,25181810094,天猫,,污渍,补偿,10,丰庆,FB28005,WC45846,刘小落,舟舟,同步波次,2026-03-23 14:23:09,10
6924794111140527759,25070711010,天猫,,破洞,退货,,爱探索,FY25796,WC46715,刘小落,舟舟,同步波次,2026-03-23 14:13:24,10
6950999568573928932,25181801027,天猫,,做工开线等,退货,,浩迅,WC46233,WC46231,陈丹,舟舟,同步波次,2026-03-23 14:09:09,10
6925009171834896143,24181818016,天猫,,起球勾线掉毛,退货,,春秋,WB45023,WB45023,庞潇潇,曦曦,客服添加波次,2026-03-23 13:52:09,10
6951398895287670737,25181809383,天猫,,污渍,退货,,爱探索,WD52350,WB45188,刘小落,丽丽,客服添加波次,2026-03-23 13:51:00,10
6950909590313440601,25262602168,天猫,,扣子,,,丰庆,FY28084,WD50017,陈丹,卡卡,同步波次,2026-03-23 12:54:53,10
6924957380511235382,24181806098,天猫,,洗唛和吊牌不符,退货,,易茂,fy20376,WB44755,庞潇潇,卡卡,客服添加波次,2026-03-23 12:53:46,10
6951203021719082944,25070705004,天猫,,起球勾线掉毛,退货,,浩迅,hy25941,WC46020,庞潇潇,卡卡,客服添加波次,2026-03-23 12:53:02,10
6924970025180691761,25181809261,天猫,,污渍,补偿,10,乙超,fb28020,WD51207,刘小落,卡卡,客服添加波次,2026-03-23 12:52:23,11
6951441692640810484,,天猫,,发错,退货,,,,,,丽丽,,2026-03-23 12:48:02,11
6951379450610390350,23181813010,天猫,,起球勾线掉毛,补偿,15,三米,FY28138,WZ39866,陈丹,曦曦,客服添加波次,2026-03-23 12:22:19,11
6924801028346379867,25070705031,天猫,,做工开线等,退货,,爱探索,FY28117,WC46020,庞潇潇,丽丽,客服添加波次,2026-03-23 11:50:05,11
6924495524923473584,25070705031,天猫,,污渍,,,爱探索,fy28117,WC46020,庞潇潇,卡卡,客服添加波次,2026-03-23 11:46:24,11
6924790955310480561,25181805104,天猫,,做工开线等,质量补偿,10,茉弥,FY25231,WD50433,刘小落,玲玲,客服添加波次,2026-03-23 11:26:51,11
6924662517623651853,25262608104,天猫,,做工开线等,补偿,10.78,茉弥,FY24447,WC47647,庞潇潇,茗茗,同步波次,2026-03-23 11:25:51,11
6924796316095315671,24181813291,天猫,,其他,补偿,10,三米,FY21342,WB45485,陈丹,丽丽,同步波次,2026-03-23 11:20:20,11
6951031733505693301,25262608123,天猫,,洗唛和吊牌不符,退货,,朗玛,fy28273,WC47887,刘小落,卡卡,客服添加波次,2026-03-23 11:16:03,11
6951165894430102874,2437372018,天猫,,面料硬不舒服,补偿,10,乙超,FY18010,WA43557,陈丹,曦曦,客服添加波次,2026-03-23 11:15:51,11
6925008321526070839,23181814001,小店,,污渍,平台退款,19,杰迅,WZ40754,WZ40754,刘小落,小洛,客服添加波次,2026-03-23 11:13:25,11
6950918669812110934,24181817023,天猫,,缩水变形,补偿,9,浩迅,HY11777,WA42661,陈丹,曦曦,客服添加波次,2026-03-23 11:08:32,11
6951456152639641058,23070711001,天猫,,做工开线等,质量补偿,10,浩迅,HB11719,WZ41053,庞潇潇,玲玲,客服添加波次,2026-03-23 11:03:51,11
6951300339416503629,26181804005,天猫,,发错,补偿,5,春秋,WE51962,WE51962,刘小落,卡卡,同步波次,2026-03-23 10:36:43,11
6925001755742993750,26181801004,天猫,,起球勾线掉毛,退货,,元合,WE52214,WE52210,陈丹,丽丽,客服添加波次,2026-03-23 10:35:41,11
6951389148777616701,25181809319,天猫,,拉链,补偿,10,乙超,FY27321,WD51662,刘小落,丽丽,客服添加波次,2026-03-23 10:26:32,12
6950975638279099527,25181805112,天猫,,做工开线等,补偿,7,易茂,WD51266,WD50549,陈丹,丽丽,客服添加波次,2026-03-23 10:21:24,12
6951387682988299301,24070710008,天猫,,做工开线等,补偿,20,乙超,FY26275,WB44607,陈丹,卡卡,同步波次,2026-03-23 10:19:39,12
4502150391033072409,25262602136,小店,,洗唛和吊牌不符,补偿,9,春秋,FY26137,WD50999,庞潇潇,,同步波次,2026-03-23 10:15:49,12
6924911134063230671,25181814146,天猫,,做工开线等,补偿,5,茉弥,FB27234,WD50157,庞潇潇,丽丽,同步波次,2026-03-23 10:10:58,12
6950980191325656188,25181809210,天猫,,掉色,补偿,20,茉弥,FY26080,WD50221,刘小落,卡卡,同步波次,2026-03-23 10:07:26,12
6951119505729197180,25181809212,天猫,,掉色,补偿,20,茉弥,FY24991,WD50221,刘小落,卡卡,同步波次,2026-03-23 10:07:05,12
6950971336176505980,25181809212,天猫,,掉色,补偿,20,茉弥,FY24991,WD50221,刘小落,卡卡,同步波次,2026-03-23 10:06:07,12
260319-622938058260225,24181806151,小店,,做工开线等,补偿,5,爱探索,FY26912,WB43987,庞潇潇,,同步波次,2026-03-23 10:04:25,12
260314-313251664270764,24181809152,小店,,做工开线等,补偿,5,浩迅,HB11144,WB43738,刘小落,,同步波次,2026-03-23 10:02:41,12
260226-133515262303493,23181805037,小店,,做工开线等,补偿,6,北进,FY15080,WY39171,庞潇潇,,同步波次,2026-03-23 10:01:31,12
6951214840572875900,25181809212,天猫,,掉色,补偿,20,茉弥,FY24991,WD50221,刘小落,卡卡,同步波次,2026-03-23 09:59:54,12
260314-254153868883757,23181805068,小店,,起球勾线掉毛,补偿,6,浩迅,HY10000,WZ39901,庞潇潇,,同步波次,2026-03-23 09:59:41,12
6924851526185876582,25262601010,小店,,色差,平台判全额退款,110,丰庆,FY25508,WD50497,陈丹,小洛,同步波次,2026-03-23 09:47:04,12
6924946402131476283,25181806015,天猫,,污渍,补偿,10,元合,fb27178,WD50312,陈丹,卡卡,客服添加波次,2026-03-23 09:35:29,12
6924601988743068787,2537372031,天猫,,做工开线等,,,爱探索,FY23371,WC47589,庞潇潇,丽丽,同步波次,2026-03-23 08:52:47,13
6924610210256289023,25181811123,天猫,,做工开线等,退货,,爱探索,fy28318,WC47587,庞潇潇,卡卡,客服添加波次,2026-03-23 08:35:19,13
6951239308953457722,25181809319,天猫,,起球勾线掉毛,平台同意退货,,乙超,FY27321,WD51662,刘小落,丽丽,客服添加波次,2026-03-23 08:33:40,13
6951404258625197690,25181814082,天猫,,转绒跑绒起坨,质量补偿,20,华羽,FY27255,WD51220,庞潇潇,天天,客服添加波次,2026-03-22 22:49:24,13
6924558212745624762,25262608007,天猫,,污渍,退货,,浩迅,HY11739,WC46656,陈丹,舟舟,客服添加波次,2026-03-22 22:43:04,13
